TARİH;"GSYİH
(Bin TL)";HARCAMALAR;DÖVİZ KURU;TÜFE
2003-Q1;97.161.196,43;32.349,37;1,65;96,37
2003-Q2;112.310.401,58;35.987,93;1,52;99,75
2003-Q3;131.066.306,10;35.720,40;1,40;100,49
2003-Q4;131.633.871,20;37.358,50;1,45;103,39
2004-Q1;119.544.458,52;38.064,57;1,33;105,51
2004-Q2;138.988.008,57;39.779,63;1,45;107,15
2004-Q3;161.374.936,37;39.295,87;1,48;108,61
2004-Q4;162.945.395,35;40.760,60;1,45;113,13
2005-Q1;142.588.339,88;41.336,10;1,33;114,60
2005-Q2;163.510.888,17;42.762,37;1,36;116,38
2005-Q3;186.658.293,15;43.346,37;1,34;117,20
2005-Q4;187.518.326,11;45.227,00;1,36;121,75
2006-Q1;162.557.039,88;45.441,10;1,33;123,86
2006-Q2;194.686.248,32;47.214,57;1,46;127,56
2006-Q3;218.698.672,85;47.671,93;1,50;129,89
2006-Q4;219.815.147,77;49.662,47;1,46;133,71
2007-Q1;191.184.952,15;49.629,00;1,41;136,64
2007-Q2;214.335.139,71;51.988,77;1,34;139,68
2007-Q3;239.214.245,06;51.729,23;1,29;139,17
2007-Q4;242.980.076,86;54.456,80;1,19;144,63
2008-Q1;219.835.021,60;54.338,67;1,20;148,68
2008-Q2;251.530.359,84;57.601,87;1,26;154,12
2008-Q3;270.738.750,64;57.910,80;1,21;155,38
2008-Q4;260.652.364,27;59.308,00;1,54;160,44
2009-Q1;212.877.603,68;59.630,63;1,66;161,12
2009-Q2;242.954.167,59;62.364,97;1,57;162,90
2009-Q3;273.699.960,72;62.771,43;1,50;163,67
2009-Q4;276.840.749,61;64.735,23;1,49;169,60
2010-Q1;241.906.377,40;65.700,77;1,51;176,09
2010-Q2;280.563.140,11;67.647,07;1,54;177,92
2010-Q3;320.736.256,12;67.135,70;1,52;177,39
2010-Q4;324.458.705,52;69.710,47;1,46;182,20
2011-Q1;292.851.213,97;70.947,97;1,58;183,74
2011-Q2;338.785.260,83;74.027,70;1,57;188,40
2011-Q3;384.630.842,03;73.837,13;1,73;188,69
2011-Q4;388.660.298,07;77.109,90;1,84;198,95
2012-Q1;335.737.809,22;78.516,53;1,80;203,02
2012-Q2;385.033.718,79;82.102,10;1,81;206,14
2012-Q3;427.747.163,23;81.718,70;1,80;205,76
2012-Q4;432.960.559,63;84.671,00;1,79;212,42
2013-Q1;388.660.855,29;85.341,97;1,79;217,65
2013-Q2;444.833.478,53;89.108,70;1,84;220,52
2013-Q3;494.782.612,90;89.111,37;1,97;222,85
2013-Q4;495.150.368,39;91.421,53;2,03;228,30
2014-Q1;454.056.288,03;92.572,60;2,22;235,09
2014-Q2;490.144.355,25;96.017,83;2,12;241,25
2014-Q3;551.348.074,87;96.436,37;2,17;243,44
2014-Q4;559.349.109,51;100.000,13;2,27;248,30
2015-Q1;500.472.610,61;101.911,00;2,46;252,64
2015-Q2;566.138.634,17;105.075,97;2,67;259,92
2015-Q3;634.505.317,34;106.324,00;2,85;261,21
2015-Q4;649.824.781,16;108.179,67;2,91;268,57
2016-Q1;567.941.667,62;109.478,60;2,95;274,36
2016-Q2;635.574.636,72;113.528,63;2,90;277,92
2016-Q3;670.483.688,10;114.475,73;2,97;282,20
2016-Q4;752.559.717,19;116.676,30;3,28;288,89
2017-Q1;654.453.583,46;119.910,30;3,70;302,38
2017-Q2;740.272.382,40;122.629,27;3,59;309,87
2017-Q3;839.912.109,58;124.696,27;3,52;311,99
2017-Q4;899.066.191,93;129.901,37;3,80;324,33
2018-Q1;796.554.436,72;133.327,77;3,82;333,47
2018-Q2;898.229.274,02;138.429,90;4,37;349,52
2018-Q3;1.036.561.052,90;146.703,90;5,59;372,64
2018-Q4;1.026.970.856,96;157.203,10;5,53;396,88
2019-Q1;925.360.236,07;160.456,47;5,37;399,86
2019-Q2;1.028.470.103,18;166.833,23;5,88;412,26
2019-Q3;1.158.060.427,56;169.940,13;5,68;423,04
2019-Q4;1.208.300.459,97;175.152,27;5,80;437,78
2020-Q1;1.073.816.246,01;181.241,37;6,10;448,35
2020-Q2;1.041.339.497,32;187.142,17;6,87;460,30
2020-Q3;1.419.482.738,04;192.909,60;7,22;472,79
2020-Q4;;;;
